,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
3794,erdos-reyni-n1000-p0.005--maxw2000-seed5_4412.graph,,468615,468615,494291,464618
3795,erdos-reyni-n1000-p0.005--maxw2000-seed5_4413.graph,,476976,476976,494786,452550
3796,erdos-reyni-n1000-p0.005--maxw2000-seed5_4414.graph,,467139,467139,483328,444818
3797,erdos-reyni-n1000-p0.005--maxw2000-seed5_4415.graph,,492295,492295,514697,468314
3798,erdos-reyni-n1000-p0.005--maxw2000-seed5_4416.graph,,488224,488224,503988,460451
3799,erdos-reyni-n1000-p0.005--maxw2000-seed5_4417.graph,,483351,483351,493289,455120
3800,erdos-reyni-n1000-p0.005--maxw2000-seed5_4418.graph,,487990,487990,505181,469341
3801,erdos-reyni-n1000-p0.005--maxw2000-seed5_4419.graph,,485988,485988,495802,450889
3802,erdos-reyni-n1000-p0.005--maxw2000-seed5_442.graph,,500175,500175,510886,469106
3803,erdos-reyni-n1000-p0.005--maxw2000-seed5_4420.graph,,460519,460519,471739,440606
3804,erdos-reyni-n1000-p0.005--maxw2000-seed5_4421.graph,,476315,476315,490211,445310
3805,erdos-reyni-n1000-p0.005--maxw2000-seed5_4422.graph,,482299,482299,491539,456112
3806,erdos-reyni-n1000-p0.005--maxw2000-seed5_4423.graph,,468451,468451,500096,457600
3807,erdos-reyni-n1000-p0.005--maxw2000-seed5_4424.graph,,482114,482114,495964,449363
3808,erdos-reyni-n1000-p0.005--maxw2000-seed5_4425.graph,,476423,476423,492930,462832
